Method,Approximate M/N,Number of Electrons,Correlation Energy (Hartree/electron)
CCD,1.5,502,-0.004665618337964101
CCD,1.5,464,-0.004517022638723877
CCD,1.5,434,-0.00436482336338898
CCD,1.5,392,-0.005003540687039804
CCD,1.5,368,-0.004800026428680409
CCD,1.5,332,-0.004432233288649032
CCD,1.5,302,-0.004565893813265427
CCD,1.5,272,-0.004140668057768611
CCD,1.5,242,-0.00426477213272704
CCD,1.5,210,-0.004800321387336025
CCD,1.5,180,-0.003935416373291524
CCD,1.5,156,-0.004071826091917462
CCD,1.5,120,-0.003677322817031578
CCD,1.5,90,-0.003282737131234769
CCD,2.0,392,-0.009033820888818643
CCD,2.0,368,-0.009032520317203405
CCD,2.0,332,-0.008454343807409021
CCD,2.0,302,-0.008839026865183966
CCD,2.0,272,-0.008410993971872935
CCD,2.0,242,-0.00891440811687473
CCD,2.0,210,-0.008889489497025883
CCD,2.0,180,-0.00852318391050214
CCD,2.0,156,-0.007253406990646018
CCD,2.0,120,-0.007920936183213871
CCD,2.0,90,-0.006656499964571595
CCD,3.0,368,-0.014042370898634167
CCD,3.0,332,-0.014164357410348894
CCD,3.0,302,-0.014037101948395546
CCD,3.0,272,-0.014009312631624233
CCD,3.0,242,-0.013682541008853492
CCD,3.0,210,-0.013813893215328311
CCD,3.0,180,-0.013616094497058813
CCD,3.0,156,-0.01333511895044066
CCD,3.0,120,-0.013501827690132138
CCD,3.0,90,-0.012779590230327533
CCD,4.0,332,-0.016972306071116116
CCD,4.0,302,-0.016995326162383365
CCD,4.0,272,-0.01702907824362296
CCD,4.0,242,-0.01676922957340152
CCD,4.0,210,-0.01682560319847921
CCD,4.0,180,-0.01658319099010826
CCD,4.0,156,-0.01648341517499293
CCD,4.0,120,-0.01630368155220933
CCD,4.0,90,-0.015835612382124938
MP2,1.5,2392,-0.019274978829799668
MP2,1.5,2006,-0.01822416485807983
MP2,1.5,1502,-0.0160638754981808
MP2,1.5,1260,-0.01584822336497348
MP2,1.5,1068,-0.014840941857484915
MP2,1.5,886,-0.013580036948183506
MP2,1.5,700,-0.012396392479390124
MP2,1.5,628,-0.011310426812634096
MP2,1.5,610,-0.0105688084356784
MP2,1.5,580,-0.010106903427516124
MP2,1.5,544,-0.011857204703321104
MP2,1.5,502,-0.010339936880853778
MP2,1.5,464,-0.009531863892463195
MP2,1.5,434,-0.008841157627109261
MP2,1.5,392,-0.010280514223986325
MP2,1.5,368,-0.00939273182358714
MP2,1.5,332,-0.008430851598087255
MP2,1.5,302,-0.00849357343823398
MP2,1.5,272,-0.006856147630090196
MP2,1.5,242,-0.007066177608839121
MP2,1.5,210,-0.008055981535592581
MP2,1.5,180,-0.005541431872446582
MP2,1.5,156,-0.005596957493112606
MP2,1.5,120,-0.0046481421828542405
MP2,1.5,90,-0.003412095225823833
MP2,2.0,2006,-0.027766949884555334
MP2,2.0,1502,-0.025659319283284816
MP2,2.0,1260,-0.02573807967984072
MP2,2.0,1068,-0.024365082932648257
MP2,2.0,886,-0.022613925237804484
MP2,2.0,700,-0.022188902604412027
MP2,2.0,610,-0.020467790706773716
MP2,2.0,580,-0.02020072429114706
MP2,2.0,568,-0.019745718721845457
MP2,2.0,544,-0.020615340568134813
MP2,2.0,502,-0.01983982454596828
MP2,2.0,476,-0.019892438936508126
MP2,2.0,464,-0.018530654199387576
MP2,2.0,434,-0.018442682429893057
MP2,2.0,392,-0.018821402088641675
MP2,2.0,368,-0.018195320937236813
MP2,2.0,332,-0.017047246028445324
MP2,2.0,302,-0.017385825484220914
MP2,2.0,272,-0.015254724401372918
MP2,2.0,242,-0.01621695912069356
MP2,2.0,210,-0.015883707074798237
MP2,2.0,180,-0.013967340547712495
MP2,2.0,156,-0.010903111494669632
MP2,2.0,120,-0.011651232700937172
MP2,2.0,90,-0.007813890610350557
MP2,3.0,1068,-0.03239047916671569
MP2,3.0,886,-0.03052076822734683
MP2,3.0,700,-0.030267480661392416
MP2,3.0,610,-0.028358386802735943
MP2,3.0,502,-0.027641957711915657
MP2,3.0,464,-0.026851223959966045
MP2,3.0,434,-0.026310297612788337
MP2,3.0,392,-0.02603014500143125
MP2,3.0,368,-0.025487662648300772
MP2,3.0,332,-0.025623947537002697
MP2,3.0,302,-0.024902970958508384
MP2,3.0,272,-0.02338758699609237
MP2,3.0,242,-0.023163752651769582
MP2,3.0,210,-0.023304160739759376
MP2,3.0,180,-0.02124119584816709
MP2,3.0,156,-0.020174808309151335
MP2,3.0,120,-0.019562869983274927
MP2,3.0,90,-0.01651809860448715
MP2,4.0,1068,-0.03595020943784241
MP2,4.0,886,-0.034475101239306694
MP2,4.0,700,-0.03380385935007102
MP2,4.0,610,-0.03194678605209425
MP2,4.0,502,-0.031408926920544325
MP2,4.0,464,-0.03041060004452762
MP2,4.0,434,-0.02988608521761414
MP2,4.0,392,-0.029854390668134882
MP2,4.0,368,-0.029261955128555044
MP2,4.0,332,-0.028927899862812783
MP2,4.0,302,-0.028442604098674207
MP2,4.0,272,-0.0269159048249446
MP2,4.0,242,-0.026728203029433337
MP2,4.0,210,-0.02680021079785943
MP2,4.0,180,-0.024695896218216
MP2,4.0,156,-0.023715843467163038
MP2,4.0,120,-0.022870363491776614
MP2,4.0,90,-0.019795478197767728
MP2,\infty,1068,-0.04711261708077138
MP2,\infty,886,-0.04547463190808871
MP2,\infty,700,-0.044957696268777936
MP2,\infty,610,-0.04291489455372736
MP2,\infty,502,-0.042495644546423544
MP2,\infty,464,-0.04144874086755325
MP2,\infty,434,-0.04109606424039596
MP2,\infty,392,-0.040923212883342545
MP2,\infty,368,-0.040309956236104484
MP2,\infty,332,-0.04009604413776641
MP2,\infty,302,-0.03971019787082742
MP2,\infty,272,-0.03775191591829115
MP2,\infty,242,-0.037577487417311095
MP2,\infty,210,-0.03763354680633984
MP2,\infty,180,-0.0355185636894297
MP2,\infty,156,-0.03387726285704511
MP2,\infty,120,-0.033664039715942
MP2,\infty,90,-0.029343008201625272
composite CCD/MP2,1.5,502,-0.03682132600353386
composite CCD/MP2,1.5,464,-0.03643389961381393
composite CCD/MP2,1.5,434,-0.03661972997667568
composite CCD/MP2,1.5,392,-0.035646239346396026
composite CCD/MP2,1.5,368,-0.035717250841197756
composite CCD/MP2,1.5,332,-0.03609742582832818
composite CCD/MP2,1.5,302,-0.03578251824585887
composite CCD/MP2,1.5,272,-0.03503643634596956
composite CCD/MP2,1.5,242,-0.03477608194119901
composite CCD/MP2,1.5,210,-0.034377886658083286
composite CCD/MP2,1.5,180,-0.033912548190274644
composite CCD/MP2,1.5,156,-0.03235213145584996
composite CCD/MP2,1.5,120,-0.03269322035011934
composite CCD/MP2,1.5,90,-0.02921365010703621
composite CCD/MP2,2.0,392,-0.031135631683519512
composite CCD/MP2,2.0,368,-0.031147155616071075
composite CCD/MP2,2.0,332,-0.0315031419167301
composite CCD/MP2,2.0,302,-0.031163399251790472
composite CCD/MP2,2.0,272,-0.030908185488791165
composite CCD/MP2,2.0,242,-0.030274936413492267
composite CCD/MP2,2.0,210,-0.030639329228567488
composite CCD/MP2,2.0,180,-0.030074407052219344
composite CCD/MP2,2.0,156,-0.030227558353021496
composite CCD/MP2,2.0,120,-0.029933743198218697
composite CCD/MP2,2.0,90,-0.02818561755584631
composite CCD/MP2,3.0,368,-0.028864664486437878
composite CCD/MP2,3.0,332,-0.028636454011112606
composite CCD/MP2,3.0,302,-0.028844328860714582
composite CCD/MP2,3.0,272,-0.028373641553823013
composite CCD/MP2,3.0,242,-0.028096275774395007
composite CCD/MP2,3.0,210,-0.028143279281908774
composite CCD/MP2,3.0,180,-0.02789346233832142
composite CCD/MP2,3.0,156,-0.027037573498334435
composite CCD/MP2,3.0,120,-0.027602997422799213
composite CCD/MP2,3.0,90,-0.025604499827465654
composite CCD/MP2,4.0,332,-0.028140450346069743
composite CCD/MP2,4.0,302,-0.02826291993453658
composite CCD/MP2,4.0,272,-0.027865089336969507
composite CCD/MP2,4.0,242,-0.027618513961279276
composite CCD/MP2,4.0,210,-0.027658939206959617
composite CCD/MP2,4.0,180,-0.027405858461321955
composite CCD/MP2,4.0,156,-0.026644834564875
composite CCD/MP2,4.0,120,-0.027097357776374714
composite CCD/MP2,4.0,90,-0.025383142385982483
