rs,Method,Correlation Energy (Hartree/electron),Active Spin Orbitals,Target Spin Orbitals
1,MP2,-0.05823908189923664,1502,1502
4,MP2,-0.030389586852610406,1502,1502
1,MP2,-0.05797611468321187,1476,1502
4,MP2,-0.030221644372171903,1476,1502
1,MP2,-0.05777185345544292,1458,1502
4,MP2,-0.030091906890205453,1458,1502
1,MP2,-0.05714641411074535,1404,1502
4,MP2,-0.029696342621740507,1404,1502
4,MP2,-0.02951801003552909,1380,1502
1,MP2,-0.05686309624287252,1380,1502
1,MP2,-0.056483709583854694,1350,1502
4,MP2,-0.02927990734398285,1350,1502
1,MP2,-0.05592014599028435,1308,1502
4,MP2,-0.028927899862812783,1308,1502
1,MP2,-0.05522519722366725,1260,1502
4,MP2,-0.028496829927647297,1260,1502
1,MP2,-0.054680910699861446,1224,1502
4,MP2,-0.028161016875769974,1224,1502
1,MP2,-0.05420452954991047,1194,1502
4,MP2,-0.027868719545448457,1194,1502
1,MP2,-0.05380486496040455,1170,1502
4,MP2,-0.02762504771846512,1170,1502
1,MP2,-0.053586915388876936,1158,1502
4,MP2,-0.02749312371547818,1158,1502
1,MP2,-0.05257790655887595,1104,1502
4,MP2,-0.026883932787312985,1104,1502
4,MP2,-0.02642981018455199,1068,1502
1,MP2,-0.05181854943553397,1068,1502
1,MP2,-0.05158098250345439,1056,1502
4,MP2,-0.026288187884098865,1056,1502
1,MP2,-0.050457928585356075,1008,1502
4,MP2,-0.025623947537002697,1008,1502
1,MP2,-0.049708696109018936,978,1502
4,MP2,-0.02518305357126311,978,1502
1,MP2,-0.049243225189721344,960,1502
4,MP2,-0.02491056919606306,960,1502
1,MP2,-0.04789271203976611,912,1502
4,MP2,-0.02412666252975476,912,1502
1,MP2,-0.04714286039680456,886,1502
4,MP2,-0.023693688236130092,886,1502
1,MP2,-0.04612412548976535,862,1502
4,MP2,-0.02311595620827934,862,1502
1,MP2,-0.04486391972799239,832,1502
4,MP2,-0.0224040013218516,832,1502
1,MP2,-0.0434100823262137,796,1502
4,MP2,-0.021585845713263222,796,1502
1,MP2,-0.042675864930587164,778,1502
4,MP2,-0.021175440779562026,778,1502
1,MP2,-0.04137236954229828,754,1502
4,MP2,-0.020457944556834213,754,1502
1,MP2,-0.03960963751495873,718,1502
4,MP2,-0.019489139286256587,718,1502
1,MP2,-0.038566741846527794,700,1502
4,MP2,-0.018923077428753154,700,1502
1,MP2,-0.03506331546438341,652,1502
4,MP2,-0.017047246028445324,652,1502
1,MP2,-0.03317986906144089,628,1502
4,MP2,-0.01605086942277655,628,1502
1,MP2,-0.03109318667187524,610,1502
4,MP2,-0.014973382275616334,610,1502
1,MP2,-0.028109198162474355,580,1502
4,MP2,-0.013437044657699614,580,1502
1,MP2,-0.02686274798207205,568,1502
4,MP2,-0.012802650447930851,568,1502
1,MP2,-0.023883624878849943,544,1502
4,MP2,-0.011298165945166668,544,1502
1,MP2,-0.018080907385522812,502,1502
4,MP2,-0.008430851598087255,502,1502
1,MP2,-0.014629300827990174,476,1502
4,MP2,-0.006745614587740592,476,1502
1,MP2,-0.013032496969160945,464,1502
4,MP2,-0.005966430705129439,464,1502
1,MP2,-0.009195597275583356,434,1502
4,MP2,-0.004137556846308021,434,1502
1,MP2,-0.00576905228566367,410,1502
4,MP2,-0.002565210507910507,410,1502
1,MP2,-0.0035485218791101434,392,1502
4,MP2,-0.0015495615855350147,392,1502
1,MP2,-0.0016256982470427394,368,1502
4,MP2,-0.0006896036635178794,368,1502
1,MP2,-0.0002171395636400768,344,1502
4,MP2,-8.691113775249883e-05,344,1502
1,dRPA,-0.042112527263726496,1502,1502
4,dRPA,-0.01773658934855797,1502,1502
1,dRPA,-0.041798547916751035,1476,1502
4,dRPA,-0.017569045652071725,1476,1502
1,dRPA,-0.041560674374009225,1458,1502
4,dRPA,-0.01744372054876418,1458,1502
1,dRPA,-0.04083494783681548,1404,1502
4,dRPA,-0.01706283460776796,1404,1502
1,dRPA,-0.04050669326867575,1380,1502
4,dRPA,-0.016891320100000922,1380,1502
1,dRPA,-0.04007755574935724,1350,1502
4,dRPA,-0.01666934307768463,1350,1502
1,dRPA,-0.039448129561023705,1308,1502
4,dRPA,-0.01634598850475314,1308,1502
1,dRPA,-0.03868386424448088,1260,1502
4,dRPA,-0.015957233143172947,1260,1502
1,dRPA,-0.03809283190373178,1224,1502
4,dRPA,-0.015658800170320845,1224,1502
1,dRPA,-0.03757518178934205,1194,1502
4,dRPA,-0.015399011385984929,1194,1502
1,dRPA,-0.037138913835397115,1170,1502
4,dRPA,-0.015181354945029453,1170,1502
1,dRPA,-0.03690162481031345,1158,1502
4,dRPA,-0.015063974359028015,1158,1502
1,dRPA,-0.035834498764343095,1104,1502
4,dRPA,-0.014540300664954675,1104,1502
1,dRPA,-0.03505590362637121,1068,1502
4,dRPA,-0.014163473845475479,1068,1502
1,dRPA,-0.03480174317451232,1056,1502
4,dRPA,-0.01403981762511343,1056,1502
1,dRPA,-0.03366243916677498,1008,1502
4,dRPA,-0.01349581921654054,1008,1502
1,dRPA,-0.03293018526092956,978,1502
4,dRPA,-0.013150425833398342,978,1502
1,dRPA,-0.03247425952247593,960,1502
4,dRPA,-0.012936988201247527,960,1502
1,dRPA,-0.0311683628226032,912,1502
4,dRPA,-0.01233032833837567,912,1502
1,dRPA,-0.03045742900947419,886,1502
4,dRPA,-0.012002675411742483,886,1502
1,dRPA,-0.02959135381465505,862,1502
4,dRPA,-0.011616666838828112,862,1502
1,dRPA,-0.028545056552096423,832,1502
4,dRPA,-0.011154643101980758,832,1502
1,dRPA,-0.027364553943236666,796,1502
4,dRPA,-0.01063650438172755,796,1502
1,dRPA,-0.02675325766162695,778,1502
4,dRPA,-0.010368302255661321,778,1502
1,dRPA,-0.025749799010663595,754,1502
4,dRPA,-0.00994101220434233,754,1502
1,dRPA,-0.024331532830935622,718,1502
4,dRPA,-0.009332633077122522,718,1502
1,dRPA,-0.02353309898153881,700,1502
4,dRPA,-0.008997023502601738,700,1502
1,dRPA,-0.02118199947147119,652,1502
4,dRPA,-0.008031863942105779,652,1502
1,dRPA,-0.019914645778464447,628,1502
4,dRPA,-0.007516947372610545,628,1502
1,dRPA,-0.018704884146292445,610,1502
4,dRPA,-0.007044651214663454,610,1502
1,dRPA,-0.016920143955487046,580,1502
4,dRPA,-0.0063422241440227725,580,1502
1,dRPA,-0.016143967489284816,568,1502
4,dRPA,-0.006037844713847823,568,1502
1,dRPA,-0.014486411184700777,544,1502
4,dRPA,-0.00540365311962303,544,1502
1,dRPA,-0.011288862172027504,502,1502
4,dRPA,-0.004197801846136135,502,1502
1,dRPA,-0.009286119213970686,476,1502
4,dRPA,-0.003443758007922944,476,1502
1,dRPA,-0.008244849122902848,464,1502
4,dRPA,-0.003042950147179969,464,1502
1,dRPA,-0.005953979675455598,434,1502
4,dRPA,-0.0021864805196900646,434,1502
