Method,rs,M/N,Percentage of Virtuals Required,Active Spin Orbitals Required,Target Spin Orbitals,Number of Electrons
composite CCD/MP2,4,1.036144578313253,1.0,344,344,332
composite CCD/MP2,4,1.108433734939759,0.3333333333333333,344,368,332
composite CCD/MP2,4,1.180722891566265,0.2,344,392,332
composite CCD/MP2,4,1.2349397590361446,0.15384615384615385,344,410,332
composite CCD/MP2,4,1.3072289156626506,0.7647058823529411,410,434,332
composite CCD/MP2,4,1.3975903614457832,0.7727272727272727,434,464,332
composite CCD/MP2,4,1.4337349397590362,0.9166666666666666,464,476,332
composite CCD/MP2,4,1.5120481927710843,0.8470588235294118,476,502,332
composite CCD/MP2,4,1.6385542168674698,1.0,544,544,332
composite CCD/MP2,4,1.7108433734939759,0.8983050847457628,544,568,332
composite CCD/MP2,4,1.7469879518072289,0.9516129032258065,568,580,332
composite CCD/MP2,4,1.8373493975903614,0.8920863309352518,580,610,332
composite CCD/MP2,4,1.891566265060241,0.9391891891891891,610,628,332
composite CCD/MP2,4,1.963855421686747,0.925,628,652,332
composite CCD/MP2,4,2.108433734939759,0.8695652173913043,652,700,332
composite CCD/MP2,4,2.1626506024096384,0.9533678756476683,700,718,332
composite CCD/MP2,4,2.2710843373493974,0.8720379146919431,700,754,332
composite CCD/MP2,4,2.3433734939759034,0.8251121076233184,700,778,332
composite CCD/MP2,4,2.397590361445783,0.7931034482758621,700,796,332
composite CCD/MP2,4,2.5060240963855422,0.772,718,832,332
composite CCD/MP2,4,2.5963855421686746,0.7962264150943397,754,862,332
composite CCD/MP2,4,2.6686746987951806,0.8050541516245487,778,886,332
composite CCD/MP2,4,2.746987951807229,0.7689655172413793,778,912,332
composite CCD/MP2,4,2.891566265060241,0.7388535031847133,796,960,332
composite CCD/MP2,4,2.9457831325301207,0.718266253869969,796,978,332
composite CCD/MP2,4,3.036144578313253,0.7396449704142012,832,1008,332
composite CCD/MP2,4,3.180722891566265,0.6906077348066298,832,1056,332
composite CCD/MP2,4,3.216867469879518,0.6793478260869565,832,1068,332
composite CCD/MP2,4,3.325301204819277,0.6865284974093264,862,1104,332
composite CCD/MP2,4,3.4879518072289155,0.6416464891041163,862,1158,332
composite CCD/MP2,4,3.5240963855421685,0.6324582338902148,862,1170,332
composite CCD/MP2,4,3.5963855421686746,0.6148491879350348,862,1194,332
composite CCD/MP2,4,3.6867469879518073,0.594170403587444,862,1224,332
composite CCD/MP2,4,3.7951807228915664,0.5969827586206896,886,1260,332
composite CCD/MP2,4,3.9397590361445785,0.5676229508196722,886,1308,332
