Method,Correlation Energy (Hartree/electron),Active Spin Orbitals,Target Spin Orbitals
MP2,-0.030389586852610406,1502,1502
MP2,-0.030221644372171903,1476,1502
MP2,-0.030091906890205453,1458,1502
MP2,-0.029696342621740507,1404,1502
MP2,-0.02951801003552909,1380,1502
MP2,-0.02927990734398285,1350,1502
MP2,-0.028927899862812783,1308,1502
MP2,-0.028496829927647297,1260,1502
MP2,-0.028161016875769974,1224,1502
MP2,-0.027868719545448457,1194,1502
MP2,-0.02762504771846512,1170,1502
MP2,-0.02749312371547818,1158,1502
MP2,-0.026883932787312985,1104,1502
MP2,-0.02642981018455199,1068,1502
MP2,-0.026288187884098865,1056,1502
MP2,-0.025623947537002697,1008,1502
MP2,-0.02518305357126311,978,1502
MP2,-0.02491056919606306,960,1502
MP2,-0.02412666252975476,912,1502
MP2,-0.023693688236130092,886,1502
MP2,-0.02311595620827934,862,1502
MP2,-0.0224040013218516,832,1502
MP2,-0.021585845713263222,796,1502
MP2,-0.021175440779562026,778,1502
MP2,-0.020457944556834213,754,1502
MP2,-0.019489139286256587,718,1502
MP2,-0.018923077428753154,700,1502
MP2,-0.017047246028445324,652,1502
MP2,-0.01605086942277655,628,1502
MP2,-0.014973382275616334,610,1502
MP2,-0.013437044657699614,580,1502
MP2,-0.012802650447930851,568,1502
MP2,-0.011298165945166668,544,1502
MP2,-0.008430851598087255,502,1502
MP2,-0.006745614587740592,476,1502
MP2,-0.005966430705129439,464,1502
MP2,-0.004137556846308021,434,1502
MP2,-0.002565210507910507,410,1502
MP2,-0.0015495615855350147,392,1502
MP2,-0.0006896036635178794,368,1502
MP2,-8.691113775249883e-05,344,1502
CCD,-0.018257091731194264,1502,1502
CCD,-0.018105411705273237,1476,1502
CCD,-0.017990839476735226,1458,1502
CCD,-0.01764109895198054,1404,1502
CCD,-0.017483270199560516,1380,1502
CCD,-0.017275910075454273,1350,1502
CCD,-0.016972306071116116,1308,1502
CCD,-0.01660400592699941,1260,1502
CCD,-0.016319203899254807,1224,1502
CCD,-0.01606910370807219,1194,1502
CCD,-0.015854135119751235,1170,1502
CCD,-0.015739095977978762,1158,1502
CCD,-0.015216535370336383,1104,1502
CCD,-0.01484115331029888,1068,1502
CCD,-0.014716335065561286,1056,1502
CCD,-0.014164357410348894,1008,1502
CCD,-0.013812669302201241,978,1502
CCD,-0.013592110038398417,960,1502
CCD,-0.012968376810975363,912,1502
CCD,-0.012631261939065493,886,1502
CCD,-0.012228821792703905,862,1502
CCD,-0.011749959231515556,832,1502
CCD,-0.011208653038523865,796,1502
CCD,-0.010922352726192883,778,1502
CCD,-0.010473030722129647,754,1502
CCD,-0.00982279271827821,718,1502
CCD,-0.009469162568083733,700,1502
CCD,-0.008454343807409021,652,1502
CCD,-0.007921729229398754,628,1502
CCD,-0.007427391262357196,610,1502
CCD,-0.006681006007650761,580,1502
CCD,-0.006355198613868215,568,1502
CCD,-0.005681134359537412,544,1502
CCD,-0.004432233288649032,502,1502
CCD,-0.0036444165841209,476,1502
CCD,-0.00323937963533218,464,1502
CCD,-0.002344854639696249,434,1502
CCD,-0.0016075155648111468,410,1502
CCD,-0.0010809354881674532,392,1502
CCD,-0.0005608621307458493,368,1502
CCD,-0.00011201005377883686,344,1502
composite CCD/MP2,-0.018257091731194264,1502,1502
composite CCD/MP2,-0.018273354185711736,1476,1502
composite CCD/MP2,-0.01828851943914018,1458,1502
composite CCD/MP2,-0.01833434318285044,1404,1502
composite CCD/MP2,-0.018354847016641834,1380,1502
composite CCD/MP2,-0.018385589584081832,1350,1502
composite CCD/MP2,-0.01843399306091374,1308,1502
composite CCD/MP2,-0.018496762851962518,1260,1502
composite CCD/MP2,-0.018547773876095235,1224,1502
composite CCD/MP2,-0.018589971015234137,1194,1502
composite CCD/MP2,-0.018618674253896517,1170,1502
composite CCD/MP2,-0.01863555911511099,1158,1502
composite CCD/MP2,-0.0187221894356338,1104,1502
composite CCD/MP2,-0.0188009299783573,1068,1502
composite CCD/MP2,-0.018817734034072827,1056,1502
composite CCD/MP2,-0.0189299967259566,1008,1502
composite CCD/MP2,-0.019019202583548535,978,1502
composite CCD/MP2,-0.019071127694945764,960,1502
composite CCD/MP2,-0.019231301133831008,912,1502
composite CCD/MP2,-0.019327160555545807,886,1502
composite CCD/MP2,-0.01950245243703497,862,1502
composite CCD/MP2,-0.019735544762274362,832,1502
composite CCD/MP2,-0.02001239417787105,796,1502
composite CCD/MP2,-0.020136498799241263,778,1502
composite CCD/MP2,-0.020404673017905838,754,1502
composite CCD/MP2,-0.020723240284632027,718,1502
composite CCD/MP2,-0.020935671991940984,700,1502
composite CCD/MP2,-0.021796684631574102,652,1502
composite CCD/MP2,-0.022260446659232613,628,1502
composite CCD/MP2,-0.022843595839351263,610,1502
composite CCD/MP2,-0.023633548202561555,580,1502
composite CCD/MP2,-0.02394213501854777,568,1502
composite CCD/MP2,-0.024772555266981154,544,1502
composite CCD/MP2,-0.02639096854317218,502,1502
composite CCD/MP2,-0.02728838884899071,476,1502
composite CCD/MP2,-0.027662535782813146,464,1502
composite CCD/MP2,-0.028596884645998636,434,1502
composite CCD/MP2,-0.029431891909511048,410,1502
composite CCD/MP2,-0.029920960755242844,392,1502
composite CCD/MP2,-0.030260845319838376,368,1502
composite CCD/MP2,-0.030414685768636745,344,1502
downfolding CCD/MP2,-0.018257091731194264,1502,1502
downfolding CCD/MP2,-0.018205116137713653,1308,1502
downfolding CCD/MP2,-0.018197502752438866,1104,1502
downfolding CCD/MP2,-0.018290087906704396,960,1502
downfolding CCD/MP2,-0.018626745458195856,832,1502
downfolding CCD/MP2,-0.01927489939497911,718,1502
downfolding CCD/MP2,-0.02005157815074127,652,1502
downfolding CCD/MP2,-0.020400148955506354,628,1502
downfolding CCD/MP2,-0.02084875258188334,610,1502
downfolding CCD/MP2,-0.021501351136654207,580,1502
downfolding CCD/MP2,-0.024098877371648696,502,1502
downfolding CCD/MP2,-0.025592601858675065,464,1502
downfolding CCD/MP2,-0.028266260481630313,410,1502
downfolding CCD/MP2,-0.029979866811819404,368,1502
downfolding CCD/MP2,-0.03041468576863674,344,1502
